,Year,State,Value,CV (%)
701,1999,Oklahoma,150500000.0,
702,1999,Oregon,34659000.0,
703,1999,Pennsylvania,10260000.0,
704,1999,South Carolina,9460000.0,
705,1999,South Dakota,120582000.0,
706,1999,Tennessee,19040000.0,
707,1999,Texas,122400000.0,
708,1999,Utah,8940000.0,
709,1999,Virginia,13680000.0,
710,1999,Washington,124140000.0,
711,1999,West Virginia,399000.0,
712,1999,Wisconsin,7480000.0,
713,1999,Wyoming,6369000.0,
714,1998,Alabama,3570000.0,
715,1998,Arizona,15840000.0,
716,1998,Arkansas,45900000.0,
717,1998,California,38550000.0,
718,1998,Colorado,103470000.0,
719,1998,Delaware,3723000.0,
720,1998,Florida,559000.0,
721,1998,Georgia,10320000.0,
722,1998,Idaho,102410000.0,
723,1998,Illinois,57600000.0,
724,1998,Indiana,35750000.0,
725,1998,Iowa,1408000.0,
726,1998,Kansas,494900000.0,
727,1998,Kentucky,24750000.0,
728,1998,Louisiana,3960000.0,
729,1998,Maryland,10750000.0,
730,1998,Michigan,30780000.0,
731,1998,Minnesota,80444000.0,
732,1998,Mississippi,6750000.0,
733,1998,Missouri,57500000.0,
734,1998,Montana,168790000.0,
735,1998,Nebraska,82800000.0,
736,1998,Nevada,1240000.0,
737,1998,New Jersey,2288000.0,
738,1998,New Mexico,7950000.0,
739,1998,New York,7020000.0,
740,1998,North Carolina,27880000.0,
741,1998,North Dakota,307700000.0,
742,1998,Ohio,74240000.0,
743,1998,Oklahoma,198900000.0,
744,1998,Oregon,57490000.0,
745,1998,Pennsylvania,9690000.0,
746,1998,South Carolina,7680000.0,
747,1998,South Dakota,120884000.0,
748,1998,Tennessee,15170000.0,
749,1998,Texas,136500000.0,
750,1998,Utah,8834000.0,
751,1998,Virginia,11025000.0,
752,1998,Washington,157425000.0,
753,1998,West Virginia,456000.0,
754,1998,Wisconsin,7635000.0,
755,1998,Wyoming,6790000.0,
756,1997,Alabama,3780000.0,
757,1997,Arizona,8775000.0,
758,1997,Arkansas,39360000.0,
759,1997,California,41680000.0,
760,1997,Colorado,90100000.0,
761,1997,Delaware,5329000.0,
762,1997,Florida,663000.0,
763,1997,Georgia,15400000.0,
764,1997,Idaho,113830000.0,
765,1997,Illinois,66490000.0,
766,1997,Indiana,36540000.0,
767,1997,Iowa,1050000.0,
768,1997,Kansas,501400000.0,
769,1997,Kentucky,22680000.0,
770,1997,Louisiana,4255000.0,
771,1997,Maryland,14280000.0,
772,1997,Michigan,32240000.0,
773,1997,Minnesota,77300000.0,
774,1997,Mississippi,7525000.0,
775,1997,Missouri,58320000.0,
776,1997,Montana,181540000.0,
777,1997,Nebraska,70300000.0,
778,1997,Nevada,1875000.0,
779,1997,New Jersey,2280000.0,
780,1997,New Mexico,9975000.0,
781,1997,New York,7280000.0,
782,1997,North Carolina,34170000.0,
783,1997,North Dakota,269290000.0,
784,1997,Ohio,68670000.0,
785,1997,Oklahoma,169600000.0,
786,1997,Oregon,60390000.0,
787,1997,Pennsylvania,9100000.0,
788,1997,South Carolina,15000000.0,
789,1997,South Dakota,98013000.0,
790,1997,Tennessee,16200000.0,
791,1997,Texas,118900000.0,
792,1997,Utah,8742000.0,
793,1997,Virginia,17420000.0,
794,1997,Washington,165120000.0,
795,1997,West Virginia,486000.0,
796,1997,Wisconsin,8531000.0,
