,State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
101,CO,2000,-0.974245283019,0.00132075471698,3.11952830189,8.71533018868,13.7706603774,17.4705660377,21.7537735849,21.0358962264,15.0152830189,9.38735849057,-0.387169811321,-2.5295754717
102,CO,2001,-3.62391509434,-2.5358490566,3.50103773585,8.1825,12.7054716981,17.7533018868,20.7187735849,18.8710849057,15.948254717,9.8904245283,3.52712264151,-2.24551886792
103,CO,2002,-1.56212264151,-0.477877358491,2.04429245283,8.52344339623,12.8768867925,18.8870283019,21.7498584906,19.7769811321,15.259009434,8.03754716981,2.16132075472,-2.6425
104,CO,2003,-0.475188679245,-2.95627358491,2.58971698113,8.03433962264,12.7959433962,17.14,23.0558962264,20.5663207547,13.8647169811,10.4911792453,1.47523584906,-1.85485849057
105,CO,2004,-4.99632075472,-2.16216981132,5.78617924528,7.15353773585,13.319009434,16.9710849057,20.3920283019,19.5555660377,15.4241981132,8.63698113208,1.41849056604,-3.11136792453
106,CO,2005,-3.7204245283,-1.36037735849,1.66358490566,6.00726415094,11.8037264151,16.5241037736,21.7419339623,19.2560849057,15.4148584906,8.93198113208,3.80801886792,-3.28740566038
107,CO,2006,-1.40367924528,-0.555094339623,2.33646226415,8.28169811321,14.0785849057,18.6113207547,20.5144339623,18.3823584906,13.6476886792,6.7620754717,3.08033018868,-4.76674528302
108,CO,2007,-5.4641509434,-2.9791509434,3.79518867925,6.94410377358,11.6648113208,18.1216037736,21.3670283019,20.4079716981,15.583254717,10.0071698113,3.11773584906,-2.96127358491
109,CO,2008,-4.2595754717,-2.41226415094,2.19514150943,7.43221698113,11.7114150943,17.8677358491,21.2896226415,18.9377830189,15.1887735849,9.17212264151,3.75551886792,-2.96306603774
110,CO,2009,-3.59811320755,-1.53136792453,3.36811320755,5.4154245283,11.9949528302,15.2724528302,19.8467924528,19.8493396226,15.0648584906,5.70688679245,2.17731132075,-4.94160377358
111,CO,2010,-2.9516509434,-2.62372641509,2.4191509434,5.59891509434,10.2304245283,17.0387264151,20.5549528302,20.2940566038,16.5616981132,9.44966981132,1.76108490566,-3.26344339623
112,CT,1995,0.0313043478261,-0.691739130435,3.83913043478,8.17913043478,14.3586956522,19.4560869565,22.3095652174,21.7773913043,16.8365217391,12.0413043478,3.92565217391,-1.24347826087
113,CT,1996,-3.46130434783,-1.87217391304,1.80304347826,7.8947826087,13.7360869565,19.2573913043,21.3713043478,20.6395652174,16.9339130435,9.65391304348,4.66652173913,0.803913043478
114,CT,1997,-3.92913043478,0.0160869565217,3.26739130435,7.82956521739,13.147826087,19.2373913043,21.0647826087,20.3,16.1034782609,10.1926086957,3.91217391304,-2.14260869565
115,CT,1998,-2.17347826087,-0.276956521739,2.81869565217,8.69913043478,15.3356521739,18.6182608696,20.7082608696,22.1017391304,17.2708695652,10.5943478261,5.88,2.7152173913
116,CT,1999,-0.838695652174,-0.226086956522,2.89173913043,9.5052173913,13.7904347826,19.8108695652,23.2486956522,21.3795652174,17.762173913,10.2065217391,6.28652173913,-0.208260869565
117,CT,2000,-4.68739130435,-2.52086956522,3.59739130435,7.30869565217,13.9326086957,18.797826087,20.7286956522,21.1973913043,17.0113043478,10.2830434783,5.2652173913,-1.81260869565
118,CT,2001,-4.94086956522,-1.98826086957,1.99347826087,9.23391304348,15.4204347826,19.0539130435,21.2034782609,21.9765217391,17.4226086957,11.4708695652,6.57304347826,0.903043478261
119,CT,2002,-1.85434782609,0.123043478261,2.24782608696,9.44217391304,12.6108695652,19.8743478261,22.8704347826,22.5686956522,18.1869565217,10.8791304348,4.55608695652,-1.70043478261
120,CT,2003,-2.78565217391,-3.20739130435,2.96652173913,7.71217391304,13.4773913043,18.9173913043,22.6843478261,21.3391304348,16.5460869565,9.86086956522,7.29739130435,1.41434782609
121,CT,2004,-4.36304347826,-3.33565217391,2.21086956522,8.22956521739,15.0856521739,18.7334782609,21.0747826087,20.7552173913,17.3034782609,11.8473913043,5.08173913043,-0.498695652174
122,CT,2005,-3.07695652174,-1.12043478261,1.11782608696,9.78782608696,11.9343478261,20.6217391304,22.5991304348,21.3917391304,18.5947826087,9.78304347826,6.09086956522,-1.29956521739
123,CT,2006,-2.70913043478,-1.53782608696,2.54913043478,9.73739130435,13.9369565217,18.6013043478,21.8934782609,21.5582608696,16.0008695652,10.2569565217,7.57782608696,1.07956521739
124,CT,2007,-1.72869565217,-2.78826086957,4.11347826087,8.4147826087,15.7691304348,19.9547826087,22.4443478261,21.4686956522,18.6330434783,12.7152173913,4.79434782609,-1.7347826087
125,CT,2008,-5.19565217391,-0.72347826087,2.26173913043,10.0765217391,13.6156521739,19.7347826087,22.3913043478,19.8956521739,16.607826087,9.42043478261,4.69869565217,-0.322608695652
126,CT,2009,-7.42,-1.31913043478,2.06608695652,7.93782608696,14.2204347826,17.1691304348,20.4047826087,20.2539130435,16.3630434783,9.09739130435,6.83869565217,0.250869565217
127,CT,2010,-2.99826086957,-2.16043478261,5.21304347826,10.3682608696,15.0182608696,19.4452173913,22.787826087,21.4295652174,17.6113043478,10.9730434783,5.39173913043,-2.26826086957
128,DE,1995,3.88111111111,2.83333333333,8.02666666667,12.3488888889,17.6022222222,21.8888888889,25.0166666667,24.3477777778,20.5722222222,15.0211111111,6.78111111111,2.62777777778
129,DE,1996,1.07888888889,2.35222222222,4.52111111111,11.4522222222,16.0388888889,21.9844444444,24.1144444444,23.4911111111,20.2611111111,13.2611111111,7.71444444444,4.52333333333
130,DE,1997,0.735555555556,4.14333333333,8.09555555556,11.1944444444,17.02,22.0611111111,24.1588888889,23.3344444444,19.3544444444,13.6355555556,6.53555555556,1.57333333333
131,DE,1998,2.95666666667,3.79,6.10888888889,12.1966666667,17.58,22.1355555556,23.6233333333,24.4833333333,20.4188888889,13.5844444444,9.40111111111,6.05
132,DE,1999,4.06333333333,3.62888888889,6.65111111111,12.8177777778,16.9066666667,21.9844444444,25.6688888889,24.7266666667,20.2711111111,14.4711111111,9.40555555556,3.44222222222
133,DE,2000,-0.236666666667,2.39,8.24555555556,10.8722222222,17.1211111111,22.1022222222,23.4888888889,23.7288888889,19.8888888889,14.0811111111,8.68444444444,1.24777777778
134,DE,2001,-0.64,2.65777777778,5.91,12.4088888889,18.7966666667,22.2022222222,23.7844444444,24.2,20.2377777778,14.5277777778,10.6255555556,5.31444444444
135,DE,2002,2.96777777778,4.12,6.44444444444,12.86,15.9444444444,23.0222222222,25.9488888889,25.7177777778,21.2977777778,14.3544444444,8.20222222222,1.95888888889
136,DE,2003,1.40111111111,0.701111111111,6.89666666667,11.5511111111,15.1377777778,21.5733333333,24.9311111111,24.4266666667,19.6355555556,13.2577777778,10.7888888889,4.42666666667
137,DE,2004,0.702222222222,0.591111111111,6.90666666667,11.4811111111,18.6011111111,21.9933333333,23.6766666667,23.5666666667,20.3222222222,15.1455555556,8.53333333333,4.47444444444
138,DE,2005,1.4,2.57444444444,5.18888888889,12.8666666667,15.1,22.8077777778,24.8355555556,23.6933333333,21.8344444444,13.2555555556,9.31333333333,2.91888888889
139,DE,2006,2.50777777778,2.60111111111,6.86555555556,13.0977777778,17.7666666667,21.9833333333,24.4166666667,25.0688888889,19.2588888889,13.4577777778,10.2655555556,5.14
140,DE,2007,2.53333333333,-0.447777777778,8.28,11.4322222222,18.73,23.6355555556,25.0422222222,24.6866666667,21.2755555556,16.0177777778,7.94333333333,1.81555555556
141,DE,2008,0.113333333333,3.73666666667,6.44,12.86,16.2144444444,23.7044444444,25.0911111111,22.9866666667,19.9211111111,12.7777777778,7.27111111111,3.86333333333
142,DE,2009,-2.14555555556,3.33555555556,6.16333333333,11.2322222222,17.3655555556,21.05,24.0411111111,23.1211111111,18.9888888889,13.1633333333,9.36333333333,4.27777777778
143,DE,2010,1.20888888889,0.211111111111,8.52111111111,13.1744444444,17.4811111111,23.5166666667,25.6433333333,24.4811111111,20.8466666667,14.5388888889,8.50222222222,0.196666666667
144,FL,1995,15.7560583942,16.1875912409,18.2545985401,21.4526277372,25.3327007299,27.0632846715,28.1941605839,27.8350364964,27.1415328467,23.9789781022,19.8824087591,16.8413868613
145,FL,1996,15.4958394161,16.3188321168,16.2989051095,21.3551824818,24.1716058394,26.463649635,27.9371532847,27.6013138686,26.312189781,23.0186131387,19.2102919708,16.2527737226
146,FL,1997,15.4419708029,16.9966423358,20.5041605839,20.1337226277,24.2478832117,26.2273722628,27.6910218978,27.5137226277,26.7710218978,22.2223357664,17.8072992701,14.5495620438
147,FL,1998,13.4981751825,17.1602919708,17.6072992701,21.0583941606,24.507080292,28.0959854015,28.1302189781,27.9327737226,25.9210948905,23.3913868613,20.6256934307,18.6280291971
148,FL,1999,16.3294160584,16.6601459854,18.9293430657,23.3462773723,24.496350365,26.33,27.8511678832,27.9301459854,26.9975182482,23.9427007299,18.5591240876,15.4253284672
149,FL,2000,13.3917518248,16.6970072993,21.1991970803,21.1677372263,25.8237226277,27.2464963504,27.9629927007,27.8848175182,26.4213138686,23.1683941606,19.9173722628,14.3637956204
150,FL,2001,13.5399270073,17.5718248175,18.6748905109,20.794379562,24.5946715328,27.1724087591,27.3450364964,27.6008029197,26.3018248175,23.2193430657,20.2445985401,16.5981751825
151,FL,2002,15.9930656934,16.2503649635,18.9440145985,21.1303649635,24.4271532847,26.7494160584,28.1040145985,28.0502189781,26.9702189781,24.1986861314,19.3211678832,14.9317518248
152,FL,2003,14.5289781022,15.8962773723,19.3624817518,21.6427737226,24.5215328467,26.4411678832,27.4975912409,27.4919708029,26.1079562044,22.7061313869,19.4574452555,17.0951824818
153,FL,2004,16.3544525547,15.0875912409,19.2347445255,20.3779562044,24.1848175182,27.087080292,27.8386131387,27.8965693431,26.3940875912,24.6777372263,19.3383941606,16.9027007299
154,FL,2005,15.5649635036,16.9178832117,17.9645985401,20.5859124088,24.0098540146,26.3405839416,27.7608759124,28.1094890511,27.0157664234,22.634379562,18.2086861314,15.9162043796
155,FL,2006,15.1952554745,14.7960583942,18.7994890511,21.9764233577,25.0706569343,27.3278832117,27.6908029197,28.1829927007,26.9357664234,23.8524087591,19.0313138686,17.5050364964
156,FL,2007,14.1337956204,13.9208029197,17.6419708029,21.1126277372,25.2609489051,27.4870072993,28.3466423358,28.8629927007,26.9727737226,22.8456934307,18.8005839416,14.2456934307
